genes	logFC	logCPM	F	PValue	FDR
AT1G74470	0.837550870698594	7.09194129895178	42.6382472027962	0.00049524863004195	0.0945587213859641
AT1G64720	0.810094905207836	7.90603516476289	41.8795775613529	0.000520786814451065	0.0960132097003925
AT3G46640	-1.20814666685384	6.63417608119785	41.7385470890205	0.000525724038354726	0.0960132097003925
AT1G07187	0.977970342497068	5.88294205602091	40.9531328083443	0.000554377886129652	0.0980901810195697
AT4G27310	1.56593152369114	4.73724262166812	40.7935766952315	0.000560448600040394	0.0980901810195697
AT5G24490	-0.703232291016619	7.63466517160261	38.8869174078319	0.00064025972518834	0.109771876557291
AT3G01485	-0.733214503370773	7.54958040028208	38.2885405383742	0.000668369389545111	0.11229942483137
AT4G08505	1.17598278205498	5.17357883785306	37.4917551986871	0.000708378066450444	0.1166879242402
AT3G60300	0.935198354752494	5.67883900111325	36.748879947609	0.000748568639696431	0.117673158798512
AT3G12260	-0.586182030009698	8.67963222510107	36.7366505302706	0.000749255083913161	0.117673158798512
AT1G11330	1.11873335916105	6.41738495963817	36.6105762609874	0.000756380261292661	0.117673158798512
AT1G49200	-0.951005493285162	7.47289533995453	35.2097033912067	0.000841904465223599	0.128597080224427
AT4G22467	2.04397928447961	5.40738223304324	34.8322224618149	0.000867108923665117	0.13008182263769
AT5G06385	-1.38404080151857	7.99999749406958	34.429304499198	0.000895119819690257	0.130753902529231
AT1G77280	-144269487.56499	2.56529905766835	65.4075558174031	0.000902717098761507	0.130753902529231
AT5G19221	0.498339348882261	10.8882687447766	33.0944061407508	0.00099688834547115	0.141946762547511
AT5G53280	2.06330051610923	4.32789194112097	32.5772630684557	0.00104040209181609	0.145673632889116
AT5G52250	1.37587889804082	4.66681986711509	31.8289051361651	0.00110791015970075	0.147638793518624
AT2G39520	1.07091942448692	5.66499622176192	31.5532035413104	0.00113423245683383	0.147638793518624
AT2G23670	0.605348440110248	8.05708844923185	31.5167840027535	0.00113777092979694	0.147638793518624
AT3G13075	-0.700380786295232	6.63589469282611	31.3136403745103	0.00115777715371483	0.147638793518624
AT5G13630	0.786450822323661	7.13683330548727	31.2977919267581	0.00115935737797038	0.147638793518624
AT2G45630	-1.73211740361661	3.98136812928541	31.238904170186	0.00116525393216962	0.147638793518624
AT1G05562	-1.04422149156282	9.53093176084232	30.6728680888002	0.00122399925662584	0.147638793518624
AT3G18915	-1.20662727527196	5.85923424243858	30.6389786460935	0.00122763899189917	0.147638793518624
AT4G06665	-0.785359536102044	12.7448931996051	30.5607231248982	0.00123609828528629	0.147638793518624
AT4G40060	1.32139201299727	5.17624823812734	30.3787982427264	0.00125606289464114	0.147638793518624
AT4G00163	-0.536943174847344	8.02088111377978	30.2563637963746	0.00126973858877927	0.147638793518624
AT1G06473	0.714708161239536	7.39057520765888	30.0028334735048	0.00129868710259224	0.147638793518624
AT5G05987	-144269487.387835	2.41219464627293	54.7257084022257	0.00129900376497303	0.147638793518624
AT1G22840	-0.599878948108779	9.26728242646089	29.9874397840781	0.00130047264853924	0.147638793518624
AT3G14310	-1.25830690643696	4.9489377700685	29.0718633428303	0.0014127553420972	0.155104741066368
AT2G16365	-0.877779447438208	5.98306327318223	29.0671610746828	0.00141336435013779	0.155104741066368
AT3G46700	1.15440661795883	4.56465038224791	29.003647429303	0.00142162421879661	0.155104741066368
AT3G04550	-0.800989473258901	7.32462096382973	28.8430868312081	0.00144279036433924	0.155395921164282
AT1G76490	0.943993753509777	5.48756323581533	28.5735801649062	0.00147926123568944	0.157307261278822
AT5G18150	1.20502384906669	4.84509741452786	27.9249018811579	0.00157216173735339	0.163965504354044
AT1G66580	144269487.518377	2.534624010078	49.5697419447333	0.00158709086397488	0.163965504354044
AT1G05033	-0.611694916084378	6.76476521433086	27.6153821552798	0.00161920375028089	0.163965504354044
AT5G46280	1.84655564734741	7.43591732730382	27.6106162603346	0.00161994249034468	0.163965504354044
AT3G56910	-0.394838092376419	10.9595468322366	26.8803412438457	0.00173859161070014	0.171318918742667
AT3G04685	1.34334563803474	4.37831300399532	26.8192047041536	0.00174903715729644	0.171318918742667
AT4G34100	144269487.481617	2.49864831312337	47.1502726947837	0.00175540423152206	0.171318918742667
AT2G08100	1.31590711363125	4.42333616209122	26.5595453509526	0.00179433442585446	0.171318918742667
AT2G39570	1.36545858661283	5.12036015834746	26.558296567143	0.00179455598730565	0.171318918742667
AT2G15580	1.81033111361632	3.78402637786311	26.3417498648808	0.00183352749226933	0.173072634410726
AT4G14510	-0.460356414241015	9.38579586653261	26.1305126279167	0.00187262486456236	0.174799127635426
AT2G42900	0.66431232321888	6.2622388499842	25.9103696350698	0.00191454786898958	0.17674853458661
AT5G66570	0.636105818737863	8.07362714460015	25.6283808158666	0.0019700740066169	0.178270151435931
AT1G32120	-0.899519314302845	6.57940136370964	25.5636726963903	0.00198311402160996	0.178270151435931
AT3G03145	2.27298016898295	4.95030640818596	25.5066953987358	0.0019946904219709	0.178270151435931
AT2G46000	-0.968515706937654	7.31742199390041	25.1671335509044	0.00206556054797521	0.181188462379696
AT2G05100	1.50698197347604	6.67739832991561	25.1441393977405	0.0020704787987681	0.181188462379696
AT4G09000	-0.443499062024609	10.1792707085464	24.9984988746408	0.00210199116746951	0.182049771112488
AT4G02970	-0.727192248984006	8.37984327039848	24.7640152543194	0.0021540675293622	0.182976409468838
AT1G70850	1.03501691344264	5.25259344103961	24.5748560904868	0.00219732312669545	0.182976409468838
AT4G16990	1.09138169277644	4.65928501405642	24.5594921119303	0.00220088652384529	0.182976409468838
AT3G02170	0.568005000572554	7.35893699515714	24.5021996564536	0.00221424180540006	0.182976409468838
AT1G08657	-0.642408694484853	9.43615182525676	24.3788001871688	0.00224337187359186	0.182976409468838
AT4G39080	-144269487.207981	2.25234403542667	41.4248049632741	0.00227456456462734	0.182976409468838
AT1G06680	0.583606879216125	6.92466843877127	24.2306765799692	0.00227900899777551	0.182976409468838
AT3G09590	1.10191499545661	4.4950591099863	24.1673177518401	0.00229448031946677	0.182976409468838
AT3G16770	1.18926709613355	5.72626905127788	24.0571360369861	0.00232171632822095	0.182976409468838
AT2G41430	1.17931221026853	4.11779685353503	23.9649467507996	0.0023448329754014	0.182976409468838
AT4G09975	-0.813969883991558	8.3194517780859	23.9355271348011	0.00235227380343227	0.182976409468838
AT1G23310	0.739521581922391	7.26154329594468	23.7365576241433	0.00240342311494225	0.185239977877338
AT5G02840	1.09939673829365	4.45719013667853	23.4340276687257	0.00248404023453817	0.186078953339797
AT3G44110	1.32502174788644	4.25608071128817	23.4045723537046	0.00249207863995502	0.186078953339797
AT1G58030	144269487.179479	2.23293693357992	39.5587741160948	0.00249281152420649	0.186078953339797
AT5G09660	1.07692642334094	5.78255243804253	23.3650910657715	0.00250290700242793	0.186078953339797
AT2G30760	-0.895350692296317	6.38710124655053	23.2224313108437	0.00254255438073808	0.187368415373514
AT5G14090	0.863713932528904	6.56040772450178	23.0688422489456	0.00258616961497066	0.187526082903066
AT3G47340	1.68859136975828	4.95374344389247	23.0296240976452	0.00259746431528559	0.187526082903066
AT4G13495	1.5400598717613	3.9489560486949	22.9806521306423	0.00261165952858692	0.187526082903066
AT4G05690	-0.965075250746703	7.25993099823705	22.8331645209345	0.00265503326554202	0.189024868337445
AT2G03410	-0.679118849351489	8.81787681877242	22.7176223173029	0.00268967770752549	0.189882205217829
AT4G07275	-0.526086543643333	8.18751948357846	22.5753618207256	0.00273315650147567	0.190717390400909
ATCG00080	0.914712233861748	5.55370679628483	22.4965671003914	0.00275763744551811	0.190717390400909
AT1G13540	2.19607893132052	5.74363580776302	22.4565117077851	0.00277019320321485	0.190717390400909
AT2G43060	1.34386844813899	4.00930123462464	22.3865173265679	0.00279231508383667	0.190717390400909
AT3G46668	-0.6036339203683	7.28237520845121	22.254789802065	0.00283458328636107	0.191926500482155
AT3G46900	-0.874472708159587	5.29711346213897	22.1533572549506	0.00286770687924554	0.191926500482155
AT4G17390	-0.609113644836914	10.3239527912589	22.1204733112146	0.00287855482213445	0.191926500482155
AT5G55680	-2.48872441279117	4.01529441738543	21.9235090077697	0.00294467578135067	0.194789143615173
AT1G72275	-0.636291828752981	6.8681102226005	21.7400611918742	0.00300807132233675	0.196525971866926
AT4G06870	-0.583830487785224	6.74072639613135	21.666481938171	0.0030340040534247	0.196525971866926
AT5G42760	-0.729527800320522	6.80787462014178	21.6464609532325	0.00304111133706705	0.196525971866926
AT1G55673	0.58543563904782	14.469685450307	21.5747906795174	0.00306673429741686	0.196668968187779
AT2G09785	-0.58507184474221	8.62165529066584	21.491018734701	0.00309704566653323	0.196737736627776
AT4G33150	144269487.202775	2.25299440982324	35.3395495214762	0.00311464337239545	0.196737736627776
AT3G50740	1.11218871278861	4.46437684391513	21.3233941118958	0.00315889340441106	0.197323544948478
AT2G09895	-1.13816054185377	7.44519999645614	21.291370520578	0.00317089377074688	0.197323544948478
AT4G28755	0.389738346328248	13.2427058270093	21.1419970385535	0.0032276701459956	0.198903024239539
AT4G05320	0.987559622707886	6.51059217589101	21.0156158754711	0.00327675810151737	0.198903024239539
AT1G17200	144269487.11744	2.17825838322388	34.350281201138	0.00329309422206008	0.198903024239539
AT2G30520	0.790649047368595	5.64266665820108	20.8859817215982	0.00332813711724694	0.198903024239539
AT4G11070	-2.15160169258271	4.63683341021155	20.8732178173176	0.00333325321571689	0.198903024239539
AT2G32730	-144269487.085045	2.14418690348614	34.0568407674505	0.00334890490033026	0.198903024239539
ATCG01000	-0.865689794324396	5.63217036327759	20.800632573215	0.00336254521163126	0.198903024239539
AT2G38230	0.519880778629205	8.93354782511054	20.7438812820217	0.00338568414072778	0.198903024239539
AT1G75290	1.01806578496258	5.25623561564805	20.5016753376748	0.00348683157646511	0.202327686631273
AT4G06695	-0.690427227323365	8.39309150357036	20.4369373584869	0.00351453977123484	0.202327686631273
AT4G12800	0.752282165447925	5.54105379591484	20.433011712579	0.00351622928796166	0.202327686631273
AT4G26240	-0.402217936502448	8.99408274609948	20.3253626545628	0.00356297942036059	0.202891881864844
AT1G68585	-0.590207559072942	5.9408306538872	20.2994928063283	0.00357433621187917	0.202891881864844
AT3G50750	0.561268853857897	7.66878515768121	20.1602615852305	0.00363628500844387	0.205023022523067
AT2G44490	144269487.040343	2.11736677023852	32.2606881926577	0.00372270890595071	0.208496516792613
AT2G33815	0.840092358276237	8.15055900557497	19.8666598914129	0.00377163321631626	0.208664036012447
AT3G07315	-0.405591142268981	9.49975621574316	19.8370482440601	0.00378565034561759	0.208664036012447
AT1G72030	-144269487.049551	2.12000512707776	31.9210422697268	0.00380021396380245	0.208664036012447
AT1G20620	1.19770325686977	5.52046309606289	19.5204229312871	0.00393991430503979	0.214144039866821
AT1G61520	0.840600527691997	5.75130761581677	19.4356250031745	0.00398263145407001	0.214144039866821
AT5G27630	-144269486.993252	2.06909597296609	31.1070081574416	0.00399585822945288	0.214144039866821
AT3G27850	0.802266496714786	5.15046386442523	19.3976143485945	0.00400197765255218	0.214144039866821
AT4G27710	1.14304645705553	4.74602708608567	19.2105178606698	0.00409903150053694	0.215388571108279
AT4G18670	0.601606923876937	9.69575867265143	19.1957084879028	0.00410684562582658	0.215388571108279
AT3G21755	-0.765758233119199	10.0019196794096	19.1631587945487	0.00412408953743615	0.215388571108279
AT1G33140	-0.471804058509903	10.3036037068378	19.1561980242131	0.00412778954272503	0.215388571108279
AT5G25265	2.00174217008917	4.70743625430067	19.0836795459099	0.00416659843328051	0.216071564432034
AT4G17090	-0.885687263726927	10.1897265808343	18.9120919209966	0.0042603602988486	0.218457642254154
AT5G26150	2.5559224182201	3.82701536649245	18.903973829267	0.00426486494425276	0.218457642254154
AT3G02495	-0.605428182538554	6.52356113589255	18.8577726079198	0.00429062147029346	0.218457642254154
AT2G33460	-0.475973069965556	10.2785764713721	18.7795131724618	0.00433471994331417	0.218985103747363
AT1G33120	-0.466837324581861	10.3220645277322	18.7471794108644	0.00435311419185926	0.218985103747363
AT3G21260	144269487.261791	2.31034141242509	29.6077527028702	0.00439683230877031	0.219091844769267
AT5G01645	-0.543048190486169	6.90288703886748	18.652805067721	0.00440739456802835	0.219091844769267
AT3G08785	-0.347561269747303	11.1316592399042	18.601212436199	0.00443744626903545	0.219288153565687
AT4G18130	1.12071833379616	3.95279926130689	18.499016101194	0.00449777602720456	0.220139669175447
AT2G21560	1.68644328005701	3.19935566842949	18.483407620654	0.00450708523963538	0.220139669175447
AT3G08350	-0.81163494222906	6.40103591817473	18.4148169054191	0.0045482966454435	0.220868439990583
AT3G09275	0.847401998692708	11.7942190470311	18.2080242179418	0.00467559100236344	0.224574165100463
AT5G63280	-144269487.067173	2.13878271786447	28.6705402087534	0.00467807152631603	0.224574165100463
AT2G43680	0.988566538397243	5.09175695352079	18.1097897466763	0.00473770827185934	0.226144813590286
AT1G11750	-0.554758782227627	8.68438913027125	18.0172233209259	0.00479724121327315	0.227223691850377
AT2G30766	-0.704697206733655	7.7032788771098	17.9809170033234	0.00482086049148035	0.227223691850377
AT1G79040	0.683195021007881	8.30326111353472	17.9318750482997	0.00485300912659618	0.227223691850377
AT5G04415	-1.24242653502036	6.04449795023136	17.9070150346617	0.00486941372149911	0.227223691850377
AT5G49640	-0.415296835359741	9.83927147979104	17.8676395470579	0.00489554674740129	0.227223691850377
AT4G36808	-0.341155395049909	10.437165742469	17.7857223496024	0.00495050978839575	0.22851226775996
AT3G21820	-0.780296007008551	5.53470478876342	17.5992477420711	0.00507869650957298	0.229837439366114
AT5G41860	0.78051001461576	5.69770498616848	17.5922785904971	0.00508357167245906	0.229837439366114
AT3G13800	144269487.11784	2.18851359366338	27.4299913449487	0.00509261385059011	0.229837439366114
AT3G10620	-0.553142217502422	6.57964926199824	17.5618222899412	0.00510494948931175	0.229837439366114
AT3G16420	0.694103410878373	5.8897669431706	17.5461304897101	0.00511601013706265	0.229837439366114
AT3G45980	-0.399266650551004	8.45428484794532	17.4662271804117	0.00517282441781747	0.231153712415344
AT3G45290	0.836888431728236	8.51726081315997	17.3621077195137	0.00524811279762955	0.233110908782798
AT5G42820	0.684923119181644	11.1507371339896	17.3293218594646	0.00527211911304983	0.233110908782798
AT1G09623	0.750324699691872	6.7390511160884	17.2471590026142	0.00533291970637895	0.234564703943924
AT5G52190	0.980528309351523	9.83149627805436	17.0423039142584	0.00548859385838213	0.238784079494291
AT5G06595	1.95074028282482	5.28160060579082	17.0188793456043	0.00550677483864987	0.238784079494291
AT5G48160	1.5282351981027	4.51535987611616	17.0094463107951	0.00551411872656737	0.238784079494291
AT5G11416	2.68281986640462	2.73006315852479	16.8643464955453	0.00562872884695123	0.240587095673973
AT3G08835	1.61453633150002	3.71244043360275	16.8410107972007	0.00564745353366824	0.240587095673973
AT2G26210	144269486.913745	2.00802987747086	25.8875898971484	0.00568729692814026	0.240587095673973
AT1G06643	-0.437407436844746	9.25864102244266	16.7112329912045	0.00575310133254033	0.240587095673973
AT5G38212	0.463872997811364	9.22887020118573	16.7055390192947	0.00575779608828573	0.240587095673973
AT1G66830	-0.434401002251495	8.64360355851317	16.7049523586506	0.00575828008496837	0.240587095673973
AT5G03380	1.45360848704372	3.62767173791629	16.7020417733101	0.00576068211994533	0.240587095673973
AT2G35820	0.719352059800901	5.20401607240826	16.6518391651448	0.00580232194255566	0.240587095673973
AT5G44920	1.63735243380155	7.51203620803177	17.0848155610483	0.00581349606258975	0.240587095673973
AT1G48355	-0.523844073369021	9.05138445071855	16.6029368622706	0.00584326587932681	0.240615990252395
AT5G45820	1.70566723720857	4.11800892517933	16.5494322752218	0.00588850093904553	0.240615990252395
AT3G05750	0.752622345927569	5.6152222096899	16.5357785548222	0.00590011831829466	0.240615990252395
AT4G37300	0.676885269608789	6.62094970957799	16.3499435860047	0.00606128747821397	0.243100125238999
AT2G25930	-0.677236559278586	6.73189769993919	16.3266494900526	0.00608189768657716	0.243100125238999
AT3G22630	-0.457209219414385	7.38475152636659	16.301703388495	0.00610407221977432	0.243100125238999
AT3G15353	0.500074555705912	13.0951795226428	16.2702029085656	0.00613222557791638	0.243100125238999
AT3G24500	0.64649697073884	5.93267261356129	16.2611896590492	0.00614031262768391	0.243100125238999
AT1G06647	-0.435081530096991	9.26654835428183	16.2332231037475	0.00616549508860492	0.243100125238999
AT4G23810	-1.97279278343312	5.68430443504936	16.2028740616344	0.00619297726602099	0.243100125238999
AT5G45930	-0.75602898588154	5.480575524394	16.2014822123065	0.00619424150977679	0.243100125238999
AT2G20260	0.378189474695191	8.26652093820196	16.1405805739168	0.00624989470772124	0.243100125238999
AT2G08480	-0.558304594454067	7.80002868476266	16.1199966066563	0.00626885389526373	0.243100125238999
AT1G66330	144269486.882036	1.9849260009615	24.5583815554554	0.0062850077486917	0.243100125238999
AT1G68620	0.689156215844875	5.41800154348304	16.0678915767427	0.00631718643017894	0.243100125238999
AT1G05773	-1.29290032491178	5.19619753339546	16.0297075465218	0.00635291848652017	0.243100125238999
AT1G14453	-0.345734881164628	9.60304447106857	16.0156397231745	0.00636615016695392	0.243100125238999
AT1G08803	1.16143584168488	9.78313989547366	15.8912861331676	0.00651164118599144	0.244885288551657
AT5G02070	0.93406036662319	6.44517254125479	15.8523746991552	0.0065224055347489	0.244885288551657
AT1G26255	1.0398475450432	9.06233468943886	15.8500648312869	0.00652465234415535	0.244885288551657
AT1G65970	1.05632769197298	11.2824298705107	15.8250840873707	0.00654901650196244	0.244885288551657
AT3G04870	-0.647661461860947	6.13255609455178	15.8034081208541	0.00657025482650389	0.244885288551657
AT4G38820	0.957126158444353	5.03210473826923	15.7855749684424	0.00658779612101828	0.244885288551657
AT5G03300	0.967150866728917	5.29430088641398	15.7369293205139	0.00663596091613811	0.245589020513111
AT3G02215	-0.621016229993932	6.96759221092767	15.5961644012428	0.00677797849374375	0.248801999904201
AT1G20760	144269486.905753	1.99557302005366	23.586567899365	0.00678200904393073	0.248801999904201
AT1G23300	-0.396713797121479	11.4270670271115	15.5512657084868	0.00682411951586513	0.249258382838187
AT1G74770	-0.944183962119556	4.73074922686795	15.4489753594943	0.00693079900070649	0.250612676057873
AT3G01470	0.418724253155052	10.0407712938236	15.4416976242612	0.00693847263550496	0.250612676057873
AT5G01017	-1.70407971160441	5.16795087992555	15.4301317040801	0.00695069081317515	0.250612676057873
AT5G20720	-0.512738429768331	9.53344464003412	15.3693144445734	0.00701540726134262	0.251865112831365
AT3G11810	1.57658197536682	3.34860476618519	15.3251569956671	0.00706289490500594	0.252394445416314
AT2G41620	-1.0236934221518	3.88378978142999	15.2999088148552	0.00709023796193906	0.252394445416314
AT1G04540	-0.661820925329723	6.13562299621585	15.2470490308859	0.00714793765002832	0.253374785645097
AT3G59020	144269486.844002	1.95473968299197	22.7768145159671	0.00724132831901596	0.254634790840705
AT3G01295	-2.87092647955744	4.69425662787488	15.401692732229	0.00725737819096641	0.254634790840705
AT4G02620	-0.39700237280079	9.07498170380593	15.0823197497976	0.00733177309325178	0.254634790840705
AT2G43970	0.363186683567653	8.28538274347138	15.0757809385634	0.00733919841207209	0.254634790840705
AT1G44575	0.733579107630703	4.93014619181254	15.0416546927331	0.00737811288330295	0.254634790840705
AT3G28770	0.586661203376684	5.93233859370642	14.9967104110837	0.00742977989358322	0.254634790840705
AT5G56670	-0.666426084500098	5.72432541989511	14.9903573319711	0.00743712174633421	0.254634790840705
AT1G12211	-0.668255458372608	6.08568422990517	14.9477980761414	0.00748655259094455	0.254634790840705
AT1G03990	0.925653525771497	6.71997733011143	14.9428996652092	0.00749226969553137	0.254634790840705
AT2G21330	0.61356244769332	6.73353906030712	14.9236989064738	0.00751473521410178	0.254634790840705
AT5G56290	144269486.738174	1.86064724068354	22.2852607470988	0.00754268331534262	0.254634790840705
AT5G47010	144269486.747366	1.87001142695717	22.2569464064586	0.00756059771143709	0.254634790840705
AT5G35930	1.2440918494821	3.8055625393045	14.8704423436056	0.00757751430903181	0.254634790840705
AT2G19330	0.890471475170783	5.12838561582289	14.8315388120606	0.00762381219612454	0.254789050485592
AT2G19570	-0.511954568210913	7.50045324468697	14.8072900594355	0.00765285892936538	0.254789050485592
AT4G09815	-0.619027183988069	8.1318131385367	14.773947120128	0.00769303829776096	0.254789050485592
AT4G39420	-1.16975289431484	4.61211374052699	14.7341672983137	0.00774133944785784	0.254789050485592
AT3G42050	144269486.779628	1.90083447849391	21.8971216579438	0.00779378657576841	0.254789050485592
AT4G02260	144269486.78831	1.90233748370119	21.8276652153977	0.00784000873544989	0.254789050485592
AT1G25097	0.451945056782251	11.2522184717782	14.6187325080455	0.00788378773653403	0.254789050485592
AT4G00910	-0.621167683221454	6.25384824399393	14.5814128214258	0.00793058033505159	0.254789050485592
AT2G09565	-0.669975693457921	5.38556633547228	14.565679903639	0.00795041663217742	0.254789050485592
AT5G21910	-0.364347397665135	9.40284821260611	14.5556374589297	0.00796311255588733	0.254789050485592
AT3G07835	-0.596093214535281	6.67287389464351	14.522874059269	0.00800471948255845	0.254789050485592
AT2G07015	-0.412784575411493	8.52498058955365	14.5122826275717	0.00801823113472295	0.254789050485592
AT5G04375	-0.636898396414993	6.88965916550456	14.511316787031	0.00801946476999715	0.254789050485592
AT2G03470	144269486.729974	1.85490400369925	21.5557719574135	0.00802486301600843	0.254789050485592
AT3G06670	144269486.782064	1.89781243218161	21.5343902119106	0.00803966975274312	0.254789050485592
AT5G59730	0.762423325810329	6.96799493287639	14.4739698570896	0.00806735953209946	0.254789050485592
AT5G20500	-0.366032734464896	8.99087992508784	14.435227275714	0.00811744401120891	0.255113404916877
AT3G53590	-0.585074696092451	6.75833109775453	14.3819845778855	0.00818694545318387	0.255113404916877
AT5G14610	1.16328128849033	3.78073198306545	14.309777220307	0.00828246364750132	0.255113404916877
AT1G09770	-0.822401710054662	7.68471058032564	14.2532083117098	0.00835832514218854	0.255113404916877
AT1G07807	-0.470792270346766	7.032273898156	14.2457171809911	0.00836843978451398	0.255113404916877
AT1G56010	0.788420339410377	6.74723819241987	14.2344323933508	0.00838370721456467	0.255113404916877
AT1G05557	-0.729762869717728	6.39521420682353	14.2289722681559	0.00839110753787328	0.255113404916877
AT1G64230	1.15296640272119	3.90338473565521	14.1929485186429	0.00844014876798132	0.255113404916877
AT4G28080	-0.311977080413672	10.9294712416103	14.1894326038842	0.00844495543809392	0.255113404916877
AT1G69587	-1.39490650790199	4.20005571384592	14.1747313160771	0.00846509303240373	0.255113404916877
AT3G12940	-0.472797846012346	8.14165923954236	14.1719395053105	0.00846892437281336	0.255113404916877
AT1G26945	-1.14937242127479	3.93128458092083	14.1717585526807	0.008469172782091	0.255113404916877
AT3G52240	144269486.700723	1.8337877020383	20.8977374502496	0.00849953210539659	0.255113404916877
AT4G26230	-0.347459020401743	8.78117367804155	14.1002853436067	0.00856804740781028	0.255113404916877
AT3G01475	0.589509410223824	9.74395738449322	14.0959042433339	0.00857415760304388	0.255113404916877
AT1G09927	-0.372101428806306	12.1333713923885	14.0753023079714	0.00860296780795462	0.255113404916877
AT5G59895	-0.50545249961931	8.18527932559203	14.0624942833825	0.00862094329724222	0.255113404916877
AT3G20790	-0.989122340091576	6.66746798782375	14.0542085704764	0.00863259835158608	0.255113404916877
AT3G15190	-0.417177403383163	10.2562738444013	14.0269857613206	0.00867103796612127	0.255113404916877
AT5G61160	1.55428971034382	4.52086168393357	14.0171583874015	0.00868497009953897	0.255113404916877
AT1G16240	144269486.682319	1.81510393221842	20.5430668088306	0.00877258782427431	0.256789234535639
AT2G42750	1.10198270559501	3.79087860216822	13.8795542299012	0.00888319187936066	0.258345033284799
